sample_old	sample_id
TCGA-AR-A24L-01A-11R-A169-07	TCGA-AR-A24L
TCGA-E9-A1RE-01A-11R-A157-07	TCGA-E9-A1RE
TCGA-BH-A1F0-01A-11R-A137-07	TCGA-BH-A1F0
TCGA-A1-A0SJ-01A-11R-A084-07	TCGA-A1-A0SJ
TCGA-BH-A8FZ-01A-11R-A352-07	TCGA-BH-A8FZ
TCGA-A7-A4SA-01A-11R-A266-07	TCGA-A7-A4SA
TCGA-OL-A5RV-01A-12R-A28M-07	TCGA-OL-A5RV
TCGA-A7-A5ZW-01A-12R-A29R-07	TCGA-A7-A5ZW
TCGA-B6-A0X1-01A-11R-A109-07	TCGA-B6-A0X1
TCGA-BH-A0B3-01A-11R-A056-07	TCGA-BH-A0B3
TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-5L-AAT1
TCGA-BH-A1EU-01A-11R-A137-07	TCGA-BH-A1EU
TCGA-EW-A1P5-01A-11R-A144-07	TCGA-EW-A1P5
TCGA-AR-A1AW-01A-21R-A12P-07	TCGA-AR-A1AW
TCGA-3C-AALI-01A-11R-A41B-07	TCGA-3C-AALI
TCGA-AC-A6NO-01A-12R-A33J-07	TCGA-AC-A6NO
TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-E9-A1NG
TCGA-C8-A8HP-01A-11R-A36F-07	TCGA-C8-A8HP
TCGA-AR-A24P-01A-11R-A169-07	TCGA-AR-A24P
TCGA-BH-A1FG-01A-11R-A13Q-07	TCGA-BH-A1FG
TCGA-D8-A1J9-01A-11R-A13Q-07	TCGA-D8-A1J9
TCGA-A7-A3J0-01A-11R-A213-07	TCGA-A7-A3J0
TCGA-AR-A1AV-01A-21R-A12P-07	TCGA-AR-A1AV
TCGA-B6-A400-01A-11R-A239-07	TCGA-B6-A400
TCGA-E2-A10E-01A-21R-A10J-07	TCGA-E2-A10E
TCGA-BH-A0HB-01A-11R-A056-07	TCGA-BH-A0HB
TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-E9-A1R7
TCGA-LD-A7W6-01A-81R-A352-07	TCGA-LD-A7W6
TCGA-OL-A5D8-01A-11R-A27Q-07	TCGA-OL-A5D8
TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A1FN
TCGA-GM-A3NW-01A-21R-A22K-07	TCGA-GM-A3NW
TCGA-A2-A4S0-01A-21R-A266-07	TCGA-A2-A4S0
TCGA-A2-A1G6-01A-11R-A13Q-07	TCGA-A2-A1G6
TCGA-D8-A1JB-01A-11R-A13Q-07	TCGA-D8-A1JB
TCGA-A2-A1G1-01A-21R-A13Q-07	TCGA-A2-A1G1
TCGA-JL-A3YX-01A-11R-A22U-07	TCGA-JL-A3YX
TCGA-D8-A3Z5-01A-41R-A24H-07	TCGA-D8-A3Z5
TCGA-A8-A075-01A-11R-A084-07	TCGA-A8-A075
TCGA-AO-A0JM-01A-21R-A056-07	TCGA-AO-A0JM
TCGA-UU-A93S-01A-21R-A41B-07	TCGA-UU-A93S
TCGA-WT-AB44-01A-11R-A41B-07	TCGA-WT-AB44
TCGA-BH-A8G0-01A-11R-A352-07	TCGA-BH-A8G0
TCGA-AR-A0TQ-01A-11R-A084-07	TCGA-AR-A0TQ
TCGA-A2-A4RY-01A-31R-A266-07	TCGA-A2-A4RY
TCGA-AC-A3QP-01A-11R-A22U-07	TCGA-AC-A3QP
TCGA-BH-A0B9-01A-11R-A056-07	TCGA-BH-A0B9
TCGA-A2-A0EN-01A-13R-A084-07	TCGA-A2-A0EN
TCGA-A2-A0YM-01A-11R-A109-07	TCGA-A2-A0YM
TCGA-E2-A1LI-01A-12R-A157-07	TCGA-E2-A1LI
