initial_alias	converted_alias	name
ENSG00000221227	hsa-mir-1305	MIR1305
ENSG00000266698	hsa-mir-3945	MIR3945
ENSG00000263458	hsa-mir-4455	MIR4455
ENSG00000264233	hsa-mir-4456	MIR4456
ENSG00000263834	hsa-mir-4635	MIR4635
ENSG00000263670	hsa-mir-4457	MIR4457
ENSG00000273742	hsa-mir-6075	MIR6075
ENSG00000263746	hsa-mir-4277	MIR4277
ENSG00000283420	hsa-mir-4278	MIR4278
ENSG00000284000	hsa-mir-4458	MIR4458
ENSG00000266415	hsa-mir-4636	MIR4636
ENSG00000277073	hsa-mir-6131	MIR6131
ENSG00000264792	hsa-mir-4637	MIR4637
ENSG00000216077	hsa-mir-887	MIR887
ENSG00000266243	hsa-mir-4279	MIR4279
ENSG00000207956	hsa-mir-579	MIR579
ENSG00000207756	hsa-mir-580	MIR580
ENSG00000265304	hsa-mir-3650	MIR3650
ENSG00000207627	hsa-mir-581	MIR581
ENSG00000198983	hsa-mir-449a	MIR449A
ENSG00000207728	hsa-mir-449b	MIR449B
ENSG00000251856	hsa-mir-449c	MIR449C
ENSG00000265135	hsa-mir-5687	MIR5687
ENSG00000265699	hsa-mir-548ae-2	MIR548AE2
ENSG00000202601	hsa-mir-582	MIR582
ENSG00000264099	hsa-mir-4803	MIR4803
ENSG00000263593	hsa-mir-4804	MIR4804
ENSG00000283359	hsa-mir-3977	MIR3977
ENSG00000265919	hsa-mir-4280	MIR4280
ENSG00000284447	hsa-mir-9-2	MIR9-2
ENSG00000264342	hsa-mir-3660	MIR3660
ENSG00000284336	hsa-mir-2277	MIR2277
ENSG00000207578	hsa-mir-583	MIR583
ENSG00000221263	hsa-mir-548p	MIR548P
ENSG00000221436	hsa-mir-548f-3	MIR548F3
ENSG00000283498	hsa-mir-1244-2	MIR1244-2
ENSG00000264536	hsa-mir-5706	MIR5706
ENSG00000264563	hsa-mir-4633	MIR4633
ENSG00000265691	hsa-mir-4460	MIR4460
ENSG00000283678	hsa-mir-6830	MIR6830
ENSG00000263597	hsa-mir-3936	MIR3936
ENSG00000221287	hsa-mir-1289-2	MIR1289-2
ENSG00000266751	hsa-mir-3661	MIR3661
ENSG00000265924	hsa-mir-5692c-1	MIR5692C1
ENSG00000216009	hsa-mir-874	MIR874
ENSG00000283717	hsa-mir-6831	MIR6831
ENSG00000284325	hsa-mir-3655	MIR3655
ENSG00000266478	hsa-mir-5197	MIR5197
ENSG00000207714	hsa-mir-584	MIR584
ENSG00000284182	hsa-mir-143	MIR143
ENSG00000276365	hsa-mir-145	MIR145
ENSG00000199047	hsa-mir-378a	MIR378A
ENSG00000276622	hsa-mir-6499	MIR6499
ENSG00000221430	hsa-mir-1294	MIR1294
ENSG00000264760	hsa-mir-3141	MIR3141
ENSG00000221552	hsa-mir-1303	MIR1303
ENSG00000263361	hsa-mir-378h	MIR378H
ENSG00000265237	hsa-mir-3142	MIR3142
ENSG00000283733	hsa-mir-146a	MIR146A
ENSG00000199035	hsa-mir-103a-1	MIR103A1
ENSG00000283612	hsa-mir-103b-1	MIR103B1
ENSG00000207739	hsa-mir-218-2	MIR218-2
ENSG00000207619	hsa-mir-585	MIR585
ENSG00000263831	hsa-mir-378e	MIR378E
ENSG00000264249	hsa-mir-3912	MIR3912
ENSG00000265160	hsa-mir-5003	MIR5003
ENSG00000274994	hsa-mir-8056	MIR8056
ENSG00000266890	hsa-mir-4634	MIR4634
ENSG00000221464	hsa-mir-1271	MIR1271
ENSG00000266329	hsa-mir-4281	MIR4281
ENSG00000221394	hsa-mir-1229	MIR1229
ENSG00000198995	hsa-mir-340	MIR340
ENSG00000277912	hsa-mir-8089	MIR8089
ENSG00000264732	hsa-mir-4638	MIR4638
ENSG00000275859	hsa-mir-6720	MIR6720
ENSG00000266750	hsa-mir-4645	MIR4645
ENSG00000265083	hsa-mir-3691	MIR3691
ENSG00000263572	hsa-mir-7853	MIR7853
ENSG00000283616	hsa-mir-5683	MIR5683
ENSG00000263705	hsa-mir-5689	MIR5689
ENSG00000263712	hsa-mir-4639	MIR4639
ENSG00000207775	hsa-mir-548a-1	MIR548A1
ENSG00000265565	hsa-mir-3143	MIR3143
ENSG00000216101	hsa-mir-877	MIR877
ENSG00000284370	hsa-mir-4640	MIR4640
ENSG00000277402	hsa-mir-6891	MIR6891
ENSG00000274494	hsa-mir-6832	MIR6832
ENSG00000266776	hsa-mir-4646	MIR4646
ENSG00000284446	hsa-mir-1236	MIR1236
ENSG00000284469	hsa-mir-6721	MIR6721
ENSG00000277264	hsa-mir-6833	MIR6833
ENSG00000263649	hsa-mir-3135b	MIR3135B
ENSG00000199036	hsa-mir-219a-1	MIR219A1
ENSG00000284517	hsa-mir-6873	MIR6873
ENSG00000284064	hsa-mir-6834	MIR6834
ENSG00000284256	hsa-mir-5004	MIR5004
ENSG00000266509	hsa-mir-3934	MIR3934
ENSG00000276824	hsa-mir-7159	MIR7159
ENSG00000221697	hsa-mir-1275	MIR1275
ENSG00000276404	hsa-mir-6835	MIR6835
ENSG00000276712	hsa-mir-7111	MIR7111
ENSG00000265527	hsa-mir-5690	MIR5690
ENSG00000263894	hsa-mir-3925	MIR3925
ENSG00000263926	hsa-mir-4462	MIR4462
ENSG00000266494	hsa-mir-4641	MIR4641
ENSG00000276770	hsa-mir-6780b	MIR6780B
ENSG00000284427	hsa-mir-4647	MIR4647
